ID,Song Name,Band,Instrumentation,Genre,Acoustic vs Electronic,Gender Voice,Bpm,YT Link
Kx73OzRj7qE,COTI X COTI,The Tyets,4,Urbà/Trap Català,Electronic,Male,120,https://youtu.be/Kx73OzRj7qE?si=sI5EfxaR6TOqPVc_
51-gTnpKi3M,Bailoteo,The Tyets,3,Urbà/Trap Català,Electronic,Male,110,https://youtu.be/51-gTnpKi3M?si=aTOeqPr8U8nRmwCp
G3rql0y9Sv8,Olívia,The Tyets,3,Urbà/Trap Català,Electronic,Male,90,https://youtu.be/G3rql0y9Sv8?si=Wr_JhkcW8iccgekD
_8W9mV-WXes,De l'1 al què,The Tyets,3,Urbà/Trap Català,Electronic,Male,100,https://youtu.be/_8W9mV-WXes?si=WIYA31ACFKDOrK04
Vl8O6-lrt7A,Fa dies,The Tyets,3,Urbà/Trap Català,Electronic,Male & Female,115,https://youtu.be/Vl8O6-lrt7A?si=9EyBtmNdbNMirM5y
HWmx9OJEuZ4,Que vinguis,The Tyets,3,Urbà/Trap Català,Electronic,Male,85,https://youtu.be/HWmx9OJEuZ4?si=1WgOB4Vb2BRcqG7H
iX6t5bSXcak,El tonteo,The Tyets,5,Urbà/Trap Català,Electronic,Male & Female,130,https://youtu.be/iX6t5bSXcak?si=Ltgk4Tnml_KjyLFP
TqTYx2h_liI,"Amics, Tiets i Coneguts",The Tyets,3,Urbà/Trap Català,Electronic,Male ,95,https://youtu.be/TqTYx2h_liI?si=grV6aM8TPA-d636A
9Stvfpm0cV4,Clar que t'he trobat a faltar,The Tyets,5,Urbà/Trap Català,Electronic,Male & Female,100,https://youtu.be/9Stvfpm0cV4?si=ljmEJPN09iTzYFuU
1AdG292AV2w,Si ho deixéssim tot,The Tyets,3,Urbà/Trap Català,Electronic,Male,80,https://www.youtube.com/watch?v=1AdG292AV2w
wzklKdxS5BU,Córrer Pels Camps,Oques Grasses,2,Pop,Electronic,Male,95,https://youtu.be/wzklKdxS5BU?si=aQSDZcMj2ezYt249
cyQz_HDm-Is,Sort de tu,Oques Grasses,3,Pop,Electronic,Male,110,https://youtu.be/cyQz_HDm-Is?si=QIrfFD-1d0qQKKuD
yGO3UPPuVKs,La gent que estimo,Oques Grasses,4,Pop,Electronic,Male & Female,105,https://youtu.be/yGO3UPPuVKs?si=swy-fRvFR8xwi8Yy
NrpRoMeQsp8,Serem Ocells,Oques Grasses,4,Pop,Electronic,Male,90,https://youtu.be/NrpRoMeQsp8?si=bkCmhogsIma1bVRD
